filename,operator,time,test,Geno,plant,plot,whirl_id,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/ThirdSet/2019_9_2_19_58_28.csv,JR,4PM,blue,CML258,8,Plot A,1259,270.0466084,307.8868409,298.426584,0.888888889,18
./data/ThirdSet/2019_9_2_20_3_58.csv,JR,4PM,red,CML258,8,Plot A,1259,275.0389442,251.9774129,239.8837217,0.875,16
./data/ThirdSet/2019_9_2_20_9_42.csv,JR,4PM,black,CML258,8,Plot A,1259,270.6883257,320.2112926,281.8843918,0.894736842,19
./data/ThirdSet/2019_9_2_19_58_53.csv,JR,4PM,blue,CML258,9,Plot A,1259,233.0159477,189.063044,234.4064962,0.8125,16
./data/ThirdSet/2019_9_2_20_4_31.csv,JR,4PM,red,CML258,9,Plot A,1259,211.3441545,138.3135231,174.309285,0.8,15
./data/ThirdSet/2019_9_2_20_10_6.csv,JR,4PM,black,CML258,9,Plot A,1259,222.1910705,219.0962115,250.7074358,0.611111111,18
./data/ThirdSet/2019_9_2_19_59_9.csv,JR,4PM,blue,CML258,10,Plot A,1259,224.055427,169.9876706,163.2900123,0.875,16
./data/ThirdSet/2019_9_2_20_4_47.csv,JR,4PM,red,CML258,10,Plot A,1259,211.8059681,161.6442091,232.1663906,0.875,16
./data/ThirdSet/2019_9_2_20_10_22.csv,JR,4PM,black,CML258,10,Plot A,1259,220.1115015,172.4353878,207.3869182,0.6875,16
./data/ThirdSet/2019_9_2_19_59_30.csv,JR,4PM,blue,CML258,11,Plot A,1259,107.1927971,86.84777312,82.47837176,0.75,24
./data/ThirdSet/2019_9_2_20_5_24.csv,JR,4PM,red,CML258,11,Plot A,1259,114.7218733,98.1357714,137.2020829,0.916666667,24
./data/ThirdSet/2019_9_2_20_10_51.csv,JR,4PM,black,CML258,11,Plot A,1259,107.9644404,76.89150827,76.98035496,0.75,20
./data/ThirdSet/2019_9_2_20_0_3.csv,JR,4PM,blue,CML258,12,Plot A,1259,126.4422687,123.0807779,148.981309,0.722222222,18
./data/ThirdSet/2019_9_2_20_6_0.csv,JR,4PM,red,CML258,12,Plot A,1259,151.9894439,146.9347451,122.6733425,0.761904762,21
./data/ThirdSet/2019_9_2_20_11_8.csv,JR,4PM,black,CML258,12,Plot A,1259,156.1256808,179.8200129,138.1827393,0.590909091,22
./data/FirstSet/2019_9_2_12_53_16.csv,JR,9AM,blue,CML258,1,Plot B,1383,274.6837287,237.3595871,227.9573792,0.823529412,17
./data/FirstSet/2019_9_2_12_58_31.csv,JR,9AM,red,CML258,1,Plot B,1383,282.6663467,367.7110261,422.0211201,0.882352941,17
./data/FirstSet/2019_9_2_13_1_50(7).csv,JR,9AM,black,CML258,1,Plot B,1383,294.8871746,265.5113817,287.3440131,0.875,16
./data/FirstSet/2019_9_2_12_53_42.csv,JR,9AM,blue,CML258,2,Plot B,1383,316.8983338,433.8237566,501.5218168,0.6875,16
./data/FirstSet/2019_9_2_12_59_50.csv,JR,9AM,red,CML258,2,Plot B,1383,246.9467511,266.5195498,338.8930358,0.888888889,18
./data/FirstSet/2019_9_2_13_1_50(8).csv,JR,9AM,black,CML258,2,Plot B,1383,260.9900936,238.9055616,314.4685713,0.684210526,19
./data/FirstSet/2019_9_2_12_54_31.csv,JR,9AM,blue,CML258,3,Plot B,1383,325.2332345,367.8524611,432.9332959,0.818181818,22
./data/FirstSet/2019_9_2_13_0_27.csv,JR,9AM,red,CML258,3,Plot B,1383,231.3264651,333.3334114,440.0639967,0.764705882,17
./data/FirstSet/2019_9_2_13_1_50(9).csv,JR,9AM,black,CML258,3,Plot B,1383,313.887449,218.8829487,346.6511226,0.882352941,17
./data/FirstSet/2019_9_2_12_55_0.csv,JR,9AM,blue,CML258,4,Plot B,1383,256.2038295,216.5660923,263.5892044,0.894736842,19
./data/FirstSet/2019_9_2_13_1_8.csv,JR,9AM,red,CML258,4,Plot B,1383,309.2779573,282.3513256,173.856952,0.52173913,23
./data/FirstSet/2019_9_2_13_1_50(10).csv,JR,9AM,black,CML258,4,Plot B,1383,255.6531638,253.3290801,241.0874314,0.888888889,18
./data/FirstSet/2019_9_2_12_55_34.csv,JR,9AM,blue,CML258,5,Plot B,1383,298.8914881,262.4735092,317.8449378,0.909090909,22
